Athlete,Bodyweight (kg),Snatch (kg),Clean & Jerk (kg),Total (kg),Gender
Valeri Sarava (GEO),115.54,170,215,385,Men
Nigel Avery (NZL),121.98,172.5,210,382.5,Men
Anthony Martin (AUS),144.34,162.5,207.5,370,Men
Chris Rae (AUS),132.02,155,205,360,Men
Alesana Sione (ASA),130.18,160,197.5,357.5,Men
Plaiter Reyes (DOM),137,157.5,195,352.5,Men
Hisaya Yoshimoto (JPN),112.4,180,-1,-1,Men
Raimonds Bergmanis (LAT),137.58,-1,-1,-1,Men
Ashot Danielyan (ARM),160.62,207.5,257.5,465,Men
Halil Mutlu (TUR),55.93,135,160,295,Men
Wu Meijin (CHN),55.69,130,157.5,287.5,Men
Sedat Artuç (TUR),55.36,125,155,280,Men
Vitali Dzerbianiou (BLR),55.85,127.5,152.5,280,Men
Óscar Figueroa (COL),55.93,125,155,280,Men
Adrian Jigău (ROM),55.79,120,155,275,Men
László Tancsics (HUN),55.45,122.5,150,272.5,Men
Jadi Setiadi (INA),53.86,117.5,145,262.5,Men
Nelson Castro (COL),55.71,117.5,145,262.5,Men
Mohammed Abdul-Monem (IRQ),55.97,120,135,255,Men
Ahmed Saad (EGY),55.92,102.5,130,232.5,Men
Masaharu Yamada (JPN),55.76,-1,-1,-1,Men
Nafaa Benami (ALG),55.4,105,-1,-1,Men
Mohd Faizal Baharom (MAS),55.47,110,-1,-1,Men
Yang Chin-yi (TPE),55.5,-1,-1,-1,Men
Wang Shin-yuan (TPE),55.3,-1,-1,-1,Men
Éric Bonnel (FRA),55.78,-1,-1,-1,Men
Nurcan Taylan (TUR),47.21,97.5,112.5,210,Women
Li Zhuo (CHN),47.65,92.5,112.5,205,Women
Aree Wiratthaworn (THA),47.82,85,115,200,Women
Kunjarani Devi (IND),47.78,82.5,107.5,190,Women
Izabela Dragneva (BUL),47.63,82.5,105,187.5,Women
Chen Han-tung (TPE),47.62,80,102.5,182.5,Women
Blessed Udoh (NGR),47.46,75,105,180,Women
Choe Un-sim (PRK),47.33,82.5,95,177.5,Women
Hiromi Miyake (JPN),47.38,77.5,97.5,175,Women
Tara Cunningham (USA),47.4,77.5,95,172.5,Women
Chen Wei-ling (TPE),47.01,75,95,170,Women
Gema Peris (ESP),47.46,77.5,90,167.5,Women
Enga Mohamed (EGY),47.74,75,90,165,Women
Rosmainar (INA),47.87,-1,-1,-1,Women
Nan Aye Khine (MYA),47.48,82.5,107.5,190,Women
Shi Zhiyong (CHN),61.96,152.5,172.5,325,Men
Le Maosheng (CHN),61.27,140,172.5,312.5,Men
Israel José Rubio (VEN),61.38,132.5,162.5,295,Men
Armen Ghazaryan (ARM),61.9,135,160,295,Men
Gustar Junianto (INA),61.27,132.5,160,292.5,Men
Samson Matam (FRA),61.74,127.5,160,287.5,Men
Ümürbek Bazarbaýew (TKM),61.68,130,157.5,287.5,Men
Sunarto Rasidi (INA),61.78,125,160,285,Men
Yang Sheng-hsiung (TPE),61.78,120,160,280,Men
Manuel Minginfel (FSM),61.53,120,152.5,272.5,Men
Toshio Imamura (JPN),61.66,120,150,270,Men
Asif Malikov (AZE),61.6,115,150,265,Men
Gert Trasha (ALB),61.99,115,140,255,Men
Ioan Veliciu (ROM),61.64,110,135,245,Men
Yacine Zouaki (MAR),61.63,95,130,225,Men
Kamran Panjavi (GBR),61.75,-1,-1,-1,Men
Sevdalin Minchev (BUL),61.56,137.5,-1,-1,Men
Im Yong-su (PRK),61.77,140,-1,-1,Men
Diego Salazar (COL),61.52,-1,-1,-1,Men
Leonidas Sabanis (GRE),61.49,145,167.5,312.5,Men
Udomporn Polsak (THA),52.83,97.5,125,222.5,Women
Raema Lisa Rumbewas (INA),52.8,95,115,210,Women
Mabel Mosquera (COL),51.82,87.5,110,197.5,Women
Marioara Munteanu (ROM),52.55,85,105,190,Women
Nastassia Novikava (BLR),52.95,87.5,102.5,190,Women
Dika Toua (PNG),52.58,75,102.5,177.5,Women
Virginie Lachaume (FRA),52.71,75,100,175,Women
Sanamacha Chanu (IND),51.91,82.5,107.5,190,Women
Zhang Guozheng (CHN),68.74,160,187.5,347.5,Men
Lee Bae-young (KOR),68.43,152.5,190,342.5,Men
Nikolaj Pešalov (CRO),68.07,150,187.5,337.5,Men
Turan Mirzayev (AZE),68.8,147.5,185,332.5,Men
Vencelas Dabaya (CMR),67.94,145,182.5,327.5,Men
Siarhei Laurenau (BLR),68.89,147.5,170,317.5,Men
Romuald Ernault (FRA),68.63,142.5,165,307.5,Men
Yukio Peter (NRU),68.71,135,167.5,302.5,Men
Stănel Stoica (ROM),68.96,142.5,160,302.5,Men
Kuo Cheng-wei (TPE),68.84,132.5,165,297.5,Men
Julio Idrovo (ECU),68.31,140,155,295,Men
Abdulmohsen Al-Bagir (KSA),68.54,127.5,160,287.5,Men
Jafar Al-Bagir (KSA),68.63,-1,-1,-1,Men
Miroslav Janíček (SVK),68.98,125,-1,-1,Men
Mehdi Panzvan (IRI),68.01,147.5,-1,-1,Men
Suriya Dattuyawat (THA),68.07,137.5,-1,-1,Men
Youssef Sbai (TUN),68.41,-1,-1,-1,Men
Chen Yanqing (CHN),57.17,107.5,130,237.5,Women
Ri Song-hui (PRK),57.22,102.5,130,232.5,Women
Wandee Kameaim (THA),57.27,102.5,127.5,230,Women
Aylin Daşdelen (TUR),57.47,100,125,225,Women
Aleksandra Klejnowska (POL),56.96,97.5,122.5,220,Women
Pak Hyon-suk (PRK),57.63,95,122.5,217.5,Women
Alexandra Escobar (ECU),56.52,95,120,215,Women
Patmawati Abdul Hamid (INA),57,95,117.5,212.5,Women
Michaela Breeze (GBR),57.45,92.5,120,212.5,Women
Franca Gbodo (NGR),57.47,95,117.5,212.5,Women
Maryse Turcotte (CAN),57.29,90,120,210,Women
Zlatina Atanasova (BUL),57.68,90,115,205,Women
Charikleia Kastritsi (GRE),57.48,90,110,200,Women
Namkhaidorjiin Bayarmaa (MGL),57.75,87.5,107.5,195,Women
Taner Sağır (TUR),76.1,172.5,202.5,375,Men
Sergey Filimonov (KAZ),76.65,172.5,200,372.5,Men
Reyhan Arabacıoğlu (TUR),76.04,165,195,360,Men
Viktor Mitrou (GRE),76.11,160,200,360,Men
Mohammad Hossein Barkhah (IRI),76.39,160,197.5,357.5,Men
Attila Feri (HUN),76.1,155,200,355,Men
Ivan Stoitsov (BUL),76.26,155,200,355,Men
Nader Sufyan Abbas (QAT),76.47,160,195,355,Men
Kim Kwang-hoon (KOR),76,155,195,350,Men
Sebastian Dogariu (ROM),76.96,155,190,345,Men
Octavio Mejías (VEN),76.46,155,187.5,342.5,Men
Theoharis Trasha (ALB),76.95,160,182.5,342.5,Men
Ingo Steinhöfel (GER),76.43,150,185,335,Men
Rudolf Lukáč (SVK),76.53,147.5,187.5,335,Men
Mohamed Eshtiwi (LBA),76.83,155,180,335,Men
Mohamed El-Tantawy (EGY),76.12,145,182.5,327.5,Men
Carlos Andica (COL),76.57,142.5,180,322.5,Men
Chad Vaughn (USA),76.9,145,175,320,Men
René Hoch (GER),76.41,142.5,170,312.5,Men
Uati Maposua (SAM),76.76,125,155,280,Men
Gevorg Aleksanyan (ARM),76.92,162.5,-1,-1,Men
Krzysztof Szramiak (POL),76.93,160,-1,-1,Men
Zhan Xugang (CHN),76.31,-1,-1,-1,Men
Vasile Hegheduş (ROM),76.99,-1,-1,-1,Men
Oleg Perepetchenov (RUS),76.67,170,195,365,Men
Nataliya Skakun (UKR),61.59,107.5,135,242.5,Women
Hanna Batsiushka (BLR),62.87,115,127.5,242.5,Women
Tatsiana Stukalava (BLR),62.9,100,122.5,222.5,Women
Hayet Sassi (TUN),62.5,95,120,215,Women
Kim Soo-kyung (KOR),62.96,92.5,122.5,215,Women
Nguyễn Thị Thiết (VIE),61.15,95,110,205,Women
Leila Lassouani (ALG),62.47,85,115,200,Women
Anastasia Tsakiri (GRE),62.08,97.5,-1,-1,Women
Karnam Malleswari (IND),62.83,-1,-1,-1,Women
Giorgi Asanidze (GEO),84.28,177.5,205,382.5,Men
Andrei Rybakou (BLR),84.58,180,200,380,Men
Pyrros Dimas (GRE),83.15,175,202.5,377.5,Men
Georgios Markoulas (GRE),83.77,167.5,205,372.5,Men
Yuan Aijun (CHN),83.97,167.5,205,372.5,Men
Aliaksandr Anishchanka (BLR),83.69,170,200,370,Men
Tigran Martirosyan (ARM),82.02,167.5,200,367.5,Men
Song Jong-shik (KOR),84.21,160,200,360,Men
Héctor Ballesteros (COL),83.7,157.5,197.5,355,Men
Oscar Chaplin (USA),84.97,160,190,350,Men
Ulanbek Moldodosov (KGZ),83.65,150,192.5,342.5,Men
Richard Scheer (SEY),84.74,140,165,305,Men
Meamea Thomas (KIR),84.24,130,162.5,292.5,Men
Julian McWatt (GUY),84.69,125,147.5,272.5,Men
Valeriu Calancea (ROM),84.35,160,-1,-1,Men
David Matam (FRA),84.66,167.5,-1,-1,Men
Zaur Takhushev (RUS),84.29,-1,-1,-1,Men
Sergo Chakhoyan (AUS),84.15,175,-1,-1,Men
Hamza Abu-Ghalia (LBA),84.52,147.5,-1,-1,Men
İzzet İnce (TUR),83.45,-1,-1,-1,Men
Chaehoi Fatihou (COM),81.72,-1,-1,-1,Men
Liu Chunhong (CHN),68.14,122.5,152.5,275,Women
Eszter Krutzler (HUN),68.41,117.5,145,262.5,Women
Zarema Kasaeva (RUS),68.67,117.5,145,262.5,Women
Slaveyka Ruzhinska (BUL),68.23,115,135,250,Women
Vanda Maslovska (UKR),67.72,110,135,245,Women
Milena Trendafilova (BUL),68.21,105,132.5,237.5,Women
Madeleine Yamechi (CMR),68.4,105,130,235,Women
Ubaldina Valoyes (COL),68.31,105,127.5,232.5,Women
Irene Ajambo (UGA),68.77,60,90,150,Women
Sibel Şimşek (TUR),68.97,-1,-1,-1,Women
Kang Mi-suk (KOR),68.68,100,-1,-1,Women
Milen Dobrev (BUL),92.58,187.5,220,407.5,Men
Khadzhimurat Akkaev (RUS),93.74,185,220,405,Men
Eduard Tyukin (RUS),93.16,182.5,215,397.5,Men
Shahin Nassirinia (IRI),92.89,172.5,220,392.5,Men
Julio Luna (VEN),93.35,170,220,390,Men
Hakan Yılmaz (TUR),93.45,175,215,390,Men
Bakhyt Akhmetov (KAZ),93.56,180,210,390,Men
Anatoliy Mushyk (UKR),89.33,175,212.5,387.5,Men
Santiago Martínez (ESP),93.35,175,207.5,382.5,Men
Eugen Bratan (MDA),93.1,175,205,380,Men
Nikolaos Kourtidis (GRE),92.39,167.5,210,377.5,Men
Yoandry Hernández (CUB),90.94,167.5,207.5,375,Men
Tadeusz Drzazga (POL),92.43,170,200,370,Men
Arsen Kasabiev (GEO),91.2,155,207.5,362.5,Men
Alibay Samadov (AZE),92.7,165,195,360,Men
Asghar Ebrahimi (IRI),93.72,165,190,355,Men
Darío Lecman (ARG),93.37,155,185,340,Men
Furkat Saidov (UZB),85.22,145,175,320,Men
Junior Faro (ARU),93.82,140,167.5,307.5,Men
Nizami Pashayev (AZE),92.45,-1,-1,-1,Men
Nikolay Kolev (BUL),92.89,177.5,-1,-1,Men
Akakios Kakiasvilis (GRE),91.28,180,-1,-1,Men
Najim Al-Radwan (KSA),92.76,-1,-1,-1,Men
Vadim Vacarciuc (MDA),93.35,-1,-1,-1,Men
Ramzi Al-Mahrous (KSA),90.81,150,-1,-1,Men
Pawina Thongsuk (THA),69.29,122.5,150,272.5,Women
Natalya Zabolotnaya (RUS),74.09,125,147.5,272.5,Women
Valentina Popova (RUS),72.89,120,145,265,Women
Gyöngyi Likerecz (HUN),74.19,115,142.5,257.5,Women
Christina Ioannidi (GRE),73.31,112.5,142.5,255,Women
Tatyana Khromova (KAZ),74.51,117.5,135,252.5,Women
Kim Soon-hee (KOR),74.25,112.5,137.5,250,Women
Tulia Medina (COL),70.96,112.5,132.5,245,Women
Nora Köppel (ARG),73.01,100,137.5,237.5,Women
Wanda Rijo (DOM),74.56,110,127.5,237.5,Women
Eva Dimas (ESA),74.31,105,125,230,Women
Damaris Aguirre (MEX),73.9,100,122.5,222.5,Women
Deborah Lovely (AUS),74.71,92.5,115,207.5,Women
Marie Jesika Dalou (MRI),74.12,57.5,72.5,130,Women
Nahla Ramadan (EGY),74.44,120,-1,-1,Women
Huang Shih-chun (TPE),73.84,-1,-1,-1,Women
Dmitry Berestov (RUS),104.68,195,230,425,Men
Ihor Razoronov (UKR),104.6,190,230,420,Men
Gleb Pisarevskiy (RUS),104.14,190,225,415,Men
Alexandru Bratan (MDA),104.24,192.5,222.5,415,Men
Ramūnas Vyšniauskas (LTU),103.91,187.5,222.5,410,Men
Alan Naniyev (AZE),104.34,190,220,410,Men
Matthias Steiner (AUT),104.35,182.5,222.5,405,Men
Aleksandr Urinov (UZB),102.22,185,215,400,Men
Mikhail Audzeyeu (BLR),104.93,185,215,400,Men
Andre Rohde (GER),103.9,177.5,217.5,395,Men
Michel Batista (CUB),103.96,182.5,212.5,395,Men
Tomáš Matykiewicz (CZE),103.74,177.5,215,392.5,Men
Sam Pera (COK),104.82,135,170,305,Men
Eleei Lalio (ASA),101.44,125,170,295,Men
Akos Sandor (CAN),104.92,-1,-1,-1,Men
Martin Tešovič (SVK),102.56,-1,-1,-1,Men
Said Saif Asaad (QAT),104.55,192.5,-1,-1,Men
Mohsen Beiranvand (IRI),104.02,-1,-1,-1,Men
Robert Dołęga (POL),103.83,-1,-1,-1,Men
Ferenc Gyurkovics (HUN),104.41,195,225,420,Men
Mykola Hordiychuk (UKR),102.54,185,210,395,Men
Zoltán Kovács (HUN),102.59,-1,-1,-1,Men
Tang Gonghong (CHN),119.52,122.5,182.5,305,Women
Jang Mi-ran (KOR),113.34,130,172.5,302.5,Women
Agata Wróbel (POL),124.68,130,160,290,Women
